Function name	Start
sub_820C43D0	820C43D0
sub_820C44E0	820C44E0
sub_820C4570	820C4570
sub_820C45F8	820C45F8
sub_820C4680	820C4680
sub_820C4728	820C4728
sub_820C4780	820C4780
sub_820C4890	820C4890
sub_820C48C0	820C48C0
sub_820C4A40	820C4A40
sub_820C4CB8	820C4CB8
sub_820C4D18	820C4D18
sub_820C4D80	820C4D80
sub_820C4EB0	820C4EB0
sub_820C4F18	820C4F18
sub_820C4F90	820C4F90
sub_820C51E0	820C51E0
sub_820C5248	820C5248
sub_820C5328	820C5328
sub_820C5358	820C5358
sub_820C5430	820C5430
sub_820C54A0	820C54A0
sub_820C5508	820C5508
sub_820C55C8	820C55C8
sub_820C55E8	820C55E8
sub_820C56F0	820C56F0
sub_820C5898	820C5898
sub_820C59D8	820C59D8
sub_820C5A70	820C5A70
sub_820C5C98	820C5C98
sub_820C6048	820C6048
sub_820C61B8	820C61B8
sub_820C7878	820C7878
sub_820C78F8	820C78F8
sub_820C7F90	820C7F90
sub_820C80D8	820C80D8
sub_820C81A8	820C81A8
sub_820C8430	820C8430
sub_820C8500	820C8500
sub_820C8668	820C8668
sub_820C87D0	820C87D0
sub_820C8938	820C8938
sub_820C89E0	820C89E0
sub_820C8FB0	820C8FB0
sub_820C90B0	820C90B0
sub_820C9178	820C9178
sub_820C9308	820C9308
sub_820C9460	820C9460
sub_820C96B8	820C96B8
sub_820C97E8	820C97E8
sub_820C99B8	820C99B8
sub_820C9D88	820C9D88
sub_820C9E68	820C9E68
sub_820C9ED0	820C9ED0
sub_820C9FC0	820C9FC0
sub_820CA288	820CA288
sub_820CA4F8	820CA4F8
sub_820CA858	820CA858
sub_820CA900	820CA900
sub_820CAAC8	820CAAC8
sub_820CAB68	820CAB68
sub_820CAD28	820CAD28
sub_820CB0B8	820CB0B8
sub_820CB3A8	820CB3A8
sub_820CB6E8	820CB6E8
sub_820CBB00	820CBB00
sub_820CC008	820CC008
sub_820CC3D0	820CC3D0
sub_820CC6F8	820CC6F8
sub_820CCAA0	820CCAA0
sub_820CCF80	820CCF80
sub_820CD5B0	820CD5B0
sub_820CD968	820CD968
sub_820CDCB0	820CDCB0
sub_820CE0A8	820CE0A8
sub_820CE5E0	820CE5E0
sub_820CEC78	820CEC78
sub_820CF058	820CF058
sub_820CF3A0	820CF3A0
sub_820CF788	820CF788
sub_820CFCC8	820CFCC8
sub_820D0490	820D0490
sub_820D05A0	820D05A0
sub_820D07F8	820D07F8
sub_820D0948	820D0948
sub_820D0A88	820D0A88
sub_820D0BB8	820D0BB8
sub_820D0EB0	820D0EB0
sub_820D11C8	820D11C8
sub_820D17E0	820D17E0
sub_820D1F98	820D1F98
sub_820D2140	820D2140
sub_820D2830	820D2830
sub_820D2A58	820D2A58
sub_820D3460	820D3460
sub_820D3688	820D3688
sub_820D3858	820D3858
sub_820D3AA8	820D3AA8
sub_820D3D68	820D3D68
sub_820D40A8	820D40A8
sub_820D4750	820D4750
sub_820D4A48	820D4A48
sub_820D4DD0	820D4DD0
sub_820D4EA8	820D4EA8
sub_820D4F80	820D4F80
sub_820D5058	820D5058
sub_820D5130	820D5130
sub_820D5208	820D5208
sub_820D52E0	820D52E0
sub_820D53B8	820D53B8
sub_820D5490	820D5490
sub_820D5570	820D5570
sub_820D5650	820D5650
sub_820D5730	820D5730
sub_820D5810	820D5810
sub_820D58E8	820D58E8
sub_820D59C0	820D59C0
sub_820D5A98	820D5A98
sub_820D5B70	820D5B70
sub_820D5D38	820D5D38
sub_820D5F58	820D5F58
sub_820D62A0	820D62A0
sub_820D64B8	820D64B8
sub_820D66D0	820D66D0
sub_820D6A28	820D6A28
sub_820D6CE0	820D6CE0
sub_820D6F50	820D6F50
sub_820D71E8	820D71E8
sub_820D7528	820D7528
sub_820D7738	820D7738
sub_820D7978	820D7978
sub_820D7C20	820D7C20
sub_820D7F48	820D7F48
sub_820D81C8	820D81C8
sub_820D84A8	820D84A8
sub_820D8858	820D8858
sub_820D8D20	820D8D20
sub_820D9050	820D9050
sub_820D9450	820D9450
sub_820D99E8	820D99E8
sub_820DA198	820DA198
sub_820DA438	820DA438
sub_820DA730	820DA730
sub_820DAB00	820DAB00
sub_820DAFD0	820DAFD0
sub_820DB100	820DB100
sub_820DB1E0	820DB1E0
sub_820DB338	820DB338
sub_820DB368	820DB368
sub_820DB3D8	820DB3D8
sub_820DB530	820DB530
sub_820DB598	820DB598
sub_820DB608	820DB608
sub_820DB690	820DB690
sub_820DB780	820DB780
sub_820DB7F8	820DB7F8
sub_820DB860	820DB860
sub_820DB928	820DB928
sub_820DB990	820DB990
sub_820DBA00	820DBA00
sub_820DBA48	820DBA48
sub_820DBA98	820DBA98
sub_820DBB38	820DBB38
sub_820DBB48	820DBB48
sub_820DBB50	820DBB50
sub_820DBB58	820DBB58
sub_820DBC30	820DBC30
